"sku","description","title","price","weight(kg)","inactive","sale_price","product_discount","product_type","quantity"
1198,"Plush Velour Beach Towels - Madera","Plush Velour Beach Towels - Madera",54.95,1.5,1,"NULL","NULL","Physical",10
1199,"Plush Velour Beach Towels - Jenna","Plush Velour Beach Towels - Jenna",74.95,1.5,1,"NULL","NULL","Physical",10
1200,"Fairydown Espresso Kids Feather & Down Blanket","Fairydown Espresso Kids Feather & Down Blanket",164,3,1,"NULL","NULL","Physical",10
1201,"Baksana Peony Duvet Set","Baksana Peony Duvet Set",320,3,0,"NULL","NULL","Physical",10
1203,"Kenbimler Bedspread Silhouette Design","Kenbimler Bedspread Silhouette Design",299,6,1,"NULL","NULL","Physical",10
1204,"Kenbimler Bedspread - Tuscan Design","Kenbimler Bedspread - Tuscan Design",1126,6,1,"NULL",10,"Physical",10
1205,"Seneca-Alicante Bedspread","Seneca - Alicante Bedspread",529.99,3.5,1,"NULL",20,"Physical",10
1209,"Wool Cushion Inners","100% New Zealand Wool Cushion Inners",40,2,1,"NULL","NULL","Physical",10
1213,"Ottoman Towels - As Fresh as a Daisy","Ottoman Towels - As Fresh as a Daisy",10,2,0,"NULL","NULL","Physical",10
1214,"Waffleweave Blanket","Waffleweave Blanket",95,2,1,"NULL","NULL","Physical",10
1215,"Cotton Jersey Knit Sheet Set","Cotton Jersey Knit Sheet Set",260,3,1,"NULL","NULL","Physical",10
1216,"Pattern has a rib border with a half cable knit pattern in the centre","100% Cotton Knitted Baby Blanket",90,2,0,"NULL","NULL","Physical",10
1224,"Fiore Powder Blue Comforter","Bianca Lorenne - Fiore Powder Blue Comforter",390,3.5,0,"NULL","NULL","Physical",10
1227,"the beautifully styled BEDWRAP is the perfect complement to your bed linen","Suede Plain Bedwrap",44,2,0,"NULL","NULL","Physical",10
1228,"Crafted in Portugal from 100% Egyptian cotton. Elkins is a beautifully textured blanket-sized throw. Created using a highly technical weaving process, the bonded double cloth weave is vintage washed to give the throw an incredibly soft, comfortable and easy to care for finish. Available in five brilliant colours. Elkins is designed to give a pop of colour, texture and cosy warmth to your interior. Top left and going clockwise - Chartreuse, Neon Rose, Indigo, Balm, Snow.","Sheridan - Elkins 100% Luxury Egyptian Cotton Throws",279.95,0,1,"NULL",2,"Physical",10
1229,,,0,0,0,"NULL","NULL","Physical",10
1231,"The natural antibacterial properties of bamboo are perfect for reducing the amount of allergens.","Novadown - Bamboo Pillow",69.9,3,0,"NULL","NULL","Physical",10
1232,,,0,,0,"NULL","NULL","Physical",10
1233,"Bianca Lorenne Avian Bedspread","Bianca Lorenne Avian Bedspread",494,3,1,"NULL","NULL","Physical",10
1234,"Cherry - Duvet Cover Set","Cherry - Duvet Cover Set",20,3,1,"NULL","NULL","Physical",10
1235,"High quality crisp and cool best on the market very luxurious  ","Baksana 500 Threadcount Cotton Sheets / Pillowcases Sold Separately",65,2,0,"NULL","NULL","Physical",10
1237,"the essence of simple luxury in cream textured stripes and waffle detail in 100% Cotton","Baksana - Waffle Piquet  Cream Duvet Set",30,3,0,"NULL","NULL","Physical",10
1238,"Baksana - Seville Duvet Set","Baksana - Seville Duvet Set",48,3,1,"NULL","NULL","Physical",10
1239,"Baksana - Limoge Duvet Set","Baksana - Limoge Duvet Set",165,3,1,"NULL","NULL","Physical",10
1240,"Baksana - Clermont Duvet Set","Baksana - Clermont Duvet Set",53,3,1,"NULL","NULL","Physical",10
1241,"Baksana - Winterberry Bedspreads / Pillowcases Sold Separately","Baksana - Winterberry Bedspreads / Pillowcases Sold Separately",30,4,1,"NULL","NULL","Physical",10
1242,"Baksana - Brompton Duvet Set","Baksana - Brompton Duvet Set",180,3,1,"NULL","NULL","Physical",10
1243,"Novadown Alpaca Duvet Inner 400gsm","Novadown Alpaca Duvet Inner 400gsm",304,4,1,"NULL","NULL","Physical",10
1245,"Lamon Chair - Timber and Natural Linen","Lamon Chair - Timber and Natural Linen",1240,10,0,"NULL",3.5,"Physical",10
1246,"Adeline Chair - Carmine Red","Adeline Chair",1400,10,0,"NULL","NULL","Physical",10
1247,"Adeline Chair - Dusky Teal","Adeline Chair",1400,10,0,"NULL","NULL","Physical",10
1248,"Cadence - Ottoman - Carmine Red","Cadence - Ottoman - Carmine Red",900,10,0,"NULL","NULL","Physical",10
1249,"Cadence - Ottoman - Dusky Teal","Cadence - Ottoman - Dusky Teal",900,10,0,"NULL","NULL","Physical",10
1250,"Affini and Arlo Stools-Side Tables","Affini and Arlo Stools-Side Tables",720,10,0,"NULL","NULL","Physical",10
1251,"Contessa Commode Drawers","Contessa Commode Drawers",2200,10,0,"NULL","NULL","Physical",10
1252,"Emeline Commode Drawers","Emeline Commode Drawers",2200,10,0,"NULL","NULL","Physical",10
1253,"Pippino Bedside Cabinet","Pippino Bedside Cabinet",680,5,0,"NULL","NULL","Physical",10
1254,"Renard Headboard","Renard Headboard",1740,10,0,"NULL","NULL","Physical",10
1255,"Bianca Lorenne - Barrique Comforter","Bianca Lorenne - Barrique Comforter",80,3,1,"NULL","NULL","Physical",10
1256,"Cosy and warm especially in the winter","Baksana Flannelette Sheets / Pillowcases Sold Separately",49.95,2,0,"NULL","NULL","Physical",10
1257,"Tencel Mattress Protector","Tencel Mattress Protector",55,3,1,"NULL","NULL","Physical",10
1258,"Plush 100% microfiber filling ensures that the pillow moulds nicely around your neck and shoulders","Novadown - Down Alternative Pillow",55,2,0,"NULL","NULL","Physical",10
1259,"100% Merino Wool Reversible Cot Underlay","100% Merino Wool Reversible Cot Underlay",80,3,1,"NULL","NULL","Physical",10
1260,"100% New Zealand Wool Cot Duvet","100% New Zealand Wool Cot Duvet",80,3,1,"NULL","NULL","Physical",10
1261,"Bianca Lorenne - Arden Reversible Patchwork Coverlet","Bianca Lorenne - Arden Reversible Patchwork Coverlet",399,3,1,"NULL","NULL","Physical",10
