Date,Market,Company Name,Symbol,Price,Volume
2019-04-17,NYSE,Berkshire Hathaway Inc.,BRK,316040,100
2019-04-17,NYSE,Johnson & Johnson,JNJ,138.52,9543700
2019-04-18,NASDAQ,Apple Inc.,AAPL,50.97,96783200
2019-04-18,NASDAQ,Microsoft Corporation,MSFT,123.37,27991000
2019-04-18,NYSE,Berkshire Hathaway Inc.,BRK,315330,100
2019-04-18,NYSE,Johnson & Johnson,JNJ,137.52,10485300
2019-04-22,NASDAQ,Apple Inc.,AAPL,51.13,77758000
2019-04-22,NASDAQ,Microsoft Corporation,MSFT,123.76,15648700
2019-04-22,NYSE,Berkshire Hathaway Inc.,BRK,314100,100
2019-04-22,NYSE,Johnson & Johnson,JNJ,137.83,4666500
2019-04-23,NASDAQ,Apple Inc.,AAPL,51.87,93292000
2019-04-23,NASDAQ,Microsoft Corporation,MSFT,125.44,24025500
2019-04-23,NYSE,Berkshire Hathaway Inc.,BRK,317684,200
2019-04-23,NYSE,Johnson & Johnson,JNJ,139.9,5790500
2019-04-24,NASDAQ,Apple Inc.,AAPL,51.79,70162400
2019-04-24,NASDAQ,Microsoft Corporation,MSFT,125.01,31257000
2019-04-24,NYSE,Berkshire Hathaway Inc.,BRK,316000,200
2019-04-24,NYSE,Johnson & Johnson,JNJ,139.2,5676300
2019-04-25,NASDAQ,Apple Inc.,AAPL,51.32,74172800
2019-04-25,NASDAQ,Microsoft Corporation,MSFT,129.15,38033900
2019-04-25,NYSE,Berkshire Hathaway Inc.,BRK,318500,300
2019-04-25,NYSE,Johnson & Johnson,JNJ,139.65,5218100
2019-04-26,NASDAQ,Apple Inc.,AAPL,51.08,74596400
2019-04-26,NASDAQ,Microsoft Corporation,MSFT,129.89,23654900
2019-04-26,NYSE,Berkshire Hathaway Inc.,BRK,321000,400
2019-04-26,NYSE,Johnson & Johnson,JNJ,140.39,4613600
2019-04-29,NASDAQ,Apple Inc.,AAPL,51.15,88818800
2019-04-29,NASDAQ,Microsoft Corporation,MSFT,129.77,16324200
2019-04-29,NYSE,Berkshire Hathaway Inc.,BRK,324921,400
2019-04-29,NYSE,Johnson & Johnson,JNJ,139.84,4275200
2019-04-30,NASDAQ,Apple Inc.,AAPL,50.17,186139600
2019-04-30,NASDAQ,Microsoft Corporation,MSFT,130.6,24166500
2019-04-30,NYSE,Berkshire Hathaway Inc.,BRK,325080,200
2019-04-30,NYSE,Johnson & Johnson,JNJ,141.2,6003700
2019-05-01,NASDAQ,Apple Inc.,AAPL,52.63,259309200
2019-05-01,NASDAQ,Microsoft Corporation,MSFT,127.88,26821700
2019-05-01,NYSE,Berkshire Hathaway Inc.,BRK,325900,300
2019-05-01,NYSE,Johnson & Johnson,JNJ,141.95,6656300
2019-05-02,NASDAQ,Apple Inc.,AAPL,52.29,127985200
2019-05-02,NASDAQ,Microsoft Corporation,MSFT,126.21,27350200
2019-05-02,NYSE,Berkshire Hathaway Inc.,BRK,324214,200
2019-05-02,NYSE,Johnson & Johnson,JNJ,141.28,8835600
2019-05-03,NASDAQ,Apple Inc.,AAPL,52.94,83569600
2019-05-03,NASDAQ,Microsoft Corporation,MSFT,128.9,24911100
2019-05-03,NYSE,Berkshire Hathaway Inc.,BRK,327766,200
2019-05-03,NYSE,Johnson & Johnson,JNJ,142.01,5281600
2019-05-06,NASDAQ,Apple Inc.,AAPL,52.12,129772400
2019-05-06,NASDAQ,Microsoft Corporation,MSFT,128.15,24239800
2019-05-06,NYSE,Berkshire Hathaway Inc.,BRK,320000,600
2019-05-06,NYSE,Johnson & Johnson,JNJ,142.09,5818900
2019-05-07,NASDAQ,Apple Inc.,AAPL,50.72,155054800
2019-05-07,NASDAQ,Microsoft Corporation,MSFT,125.52,36017700
2019-05-07,NYSE,Berkshire Hathaway Inc.,BRK,315120,700
2019-05-07,NYSE,Johnson & Johnson,JNJ,139.97,6606700
2019-05-08,NASDAQ,Apple Inc.,AAPL,50.72,105358000
2019-05-08,NASDAQ,Microsoft Corporation,MSFT,125.51,28419000
2019-05-08,NYSE,Berkshire Hathaway Inc.,BRK,314750,400
2019-05-08,NYSE,Johnson & Johnson,JNJ,139.79,4667300
2019-05-09,NASDAQ,Apple Inc.,AAPL,50.18,139634400
2019-05-09,NASDAQ,Microsoft Corporation,MSFT,125.5,27235800
2019-05-09,NYSE,Berkshire Hathaway Inc.,BRK,314400,400
2019-05-09,NYSE,Johnson & Johnson,JNJ,138.73,5604200
2019-05-10,NASDAQ,Apple Inc.,AAPL,49.29,164834800
2019-05-10,NASDAQ,Microsoft Corporation,MSFT,127.13,30915100
2019-05-10,NYSE,Berkshire Hathaway Inc.,BRK,315500,400
2019-05-10,NYSE,Johnson & Johnson,JNJ,139.05,4771600
2019-05-13,NASDAQ,Apple Inc.,AAPL,46.43,229722400
2019-05-13,NASDAQ,Microsoft Corporation,MSFT,123.35,33944900
2019-05-13,NYSE,Berkshire Hathaway Inc.,BRK,308360,500
2019-05-13,NYSE,Johnson & Johnson,JNJ,137.2,5560000
2019-05-14,NASDAQ,Apple Inc.,AAPL,47.17,146118800
2019-05-14,NASDAQ,Microsoft Corporation,MSFT,124.73,25266300
2019-05-14,NYSE,Berkshire Hathaway Inc.,BRK,306850,300
2019-05-14,NYSE,Johnson & Johnson,JNJ,136.82,7179400
2019-05-15,NASDAQ,Apple Inc.,AAPL,47.73,106178800
2019-05-15,NASDAQ,Microsoft Corporation,MSFT,126.02,24722700
2019-05-15,NYSE,Berkshire Hathaway Inc.,BRK,305580,200
2019-05-15,NYSE,Johnson & Johnson,JNJ,136.91,6429400
2019-05-16,NASDAQ,Apple Inc.,AAPL,47.52,132125600
2019-05-16,NASDAQ,Microsoft Corporation,MSFT,128.93,30112200
2019-05-16,NYSE,Berkshire Hathaway Inc.,BRK,307936,200
2019-05-16,NYSE,Johnson & Johnson,JNJ,138.21,6857200
2019-05-17,NASDAQ,Apple Inc.,AAPL,47.25,131516400
2019-05-17,NASDAQ,Microsoft Corporation,MSFT,128.07,25770500
2019-05-17,NYSE,Berkshire Hathaway Inc.,BRK,306355,100
2019-05-17,NYSE,Johnson & Johnson,JNJ,138.61,6915300
2019-05-20,NASDAQ,Apple Inc.,AAPL,45.77,154449200
2019-05-20,NASDAQ,Microsoft Corporation,MSFT,126.22,23706900
2019-05-20,NYSE,Berkshire Hathaway Inc.,BRK,305362,100
2019-05-20,NYSE,Johnson & Johnson,JNJ,138.42,4771100
2019-05-21,NASDAQ,Apple Inc.,AAPL,46.65,113459200
2019-05-21,NASDAQ,Microsoft Corporation,MSFT,126.9,15293300
2019-05-21,NYSE,Berkshire Hathaway Inc.,BRK,306225,200
2019-05-21,NYSE,Johnson & Johnson,JNJ,138.12,4859000
2019-05-22,NASDAQ,Apple Inc.,AAPL,45.7,118994400
